Source,Target,Weight,Type
Launcelot,Margery,3,undirected
Launcelot,OldGobbo,6,undirected
Launcelot,Lorenzo,9,undirected
Launcelot,Shylock,6,undirected
Launcelot,jessica_mother,1,undirected
Monsieur_Le_Bon,Nerissa,1,undirected
Salerio,Shylock,2,undirected
PrinceMorocco,Servant_mv,1,undirected
Falconbridge,Nerissa,1,undirected
Duke,Nerissa,1,undirected
Duke,Portia_mv,1,undirected
Duke,Shylock,3,undirected
Cato,Nerissa,3,undirected
Cato,Portia_mv,2,undirected
Bassanio,Launcelot,1,undirected
Bassanio,Salerio,2,undirected
Bassanio,Cato,1,undirected
Bassanio,Nerissa,5,undirected
Bassanio,Portia_mv,24,undirected
Bassanio,OldGobbo,1,undirected
Bassanio,Montferrat,1,undirected
Bassanio,Lorenzo,7,undirected
Bassanio,Salarino,3,undirected
Bassanio,Leonardo,1,undirected
Bassanio,Gratiano_mv,17,undirected
Bassanio,Hercules,2,undirected
Bassanio,Salanio,2,undirected
Bassanio,Shylock,11,undirected
Bassanio,Jessica,4,undirected
Nerissa,Salerio,1,undirected
Nerissa,Portia_mv,21,undirected
Nerissa,PrinceArragon,1,undirected
Nerissa,Shylock,1,undirected
Portia_mv,Salerio,2,undirected
Portia_mv,PrinceMorocco,3,undirected
Portia_mv,PrinceArragon,2,undirected
Portia_mv,Servant_mv,1,undirected
Portia_mv,Shylock,10,undirected
Gratiano_mv,Salerio,2,undirected
Gratiano_mv,Nerissa,7,undirected
Gratiano_mv,Portia_mv,6,undirected
Gratiano_mv,Lorenzo,9,undirected
Gratiano_mv,Salarino,1,undirected
Gratiano_mv,Salanio,1,undirected
Gratiano_mv,Shylock,4,undirected
Gratiano_mv,Jessica,2,undirected
Salanio,Shylock,2,undirected
Antonio_mv,Launcelot,4,undirected
Antonio_mv,Salerio,3,undirected
Antonio_mv,Cato,1,undirected
Antonio_mv,Duke,5,undirected
Antonio_mv,Bassanio,30,undirected
Antonio_mv,Tubal,5,undirected
Antonio_mv,Nerissa,4,undirected
Antonio_mv,Portia_mv,19,undirected
Antonio_mv,Balthasar_mv,1,undirected
Antonio_mv,Servant_mv,1,undirected
Antonio_mv,Lorenzo,7,undirected
Antonio_mv,Salarino,6,undirected
Antonio_mv,Bellario,1,undirected
Antonio_mv,Clerk_mv,1,undirected
Antonio_mv,Gratiano_mv,9,undirected
Antonio_mv,Salanio,3,undirected
Antonio_mv,Shylock,22,undirected
Antonio_mv,Jessica,4,undirected
Antonio_mv,jessica_mother,1,undirected
Bellario,Duke,5,undirected
Bellario,Nerissa,2,undirected
Bellario,Portia_mv,4,undirected
Bellario,Lorenzo,2,undirected
Bellario,Jessica,1,undirected
Balthasar_mv,Portia_mv,1,undirected
Balthasar_mv,Lorenzo,1,undirected
Balthasar_mv,Bellario,1,undirected
Balthasar_mv,Clerk_mv,1,undirected
Balthasar_mv,Shylock,1,undirected
Balthasar_mv,Jessica,1,undirected
Gaoler,Shylock,1,undirected
Montferrat,Nerissa,1,undirected
Alcides,PrinceMorocco,1,undirected
Alcides,Bassanio,1,undirected
Alcides,Nerissa,1,undirected
Alcides,Portia_mv,1,undirected
Alcides,Hercules,2,undirected
Lorenzo,Salerio,3,undirected
Lorenzo,Nerissa,3,undirected
Lorenzo,Portia_mv,10,undirected
Lorenzo,Salarino,3,undirected
Lorenzo,Stephano,1,undirected
Lorenzo,Salanio,1,undirected
Lorenzo,Shylock,4,undirected
Neapolitan_prince,Nerissa,1,undirected
County_Palatine,Nerissa,1,undirected
Clerk_mv,Shylock,1,undirected
Hercules,PrinceMorocco,1,undirected
Hercules,Nerissa,1,undirected
Hercules,Portia_mv,1,undirected
OldGobbo,Shylock,3,undirected
Shylock,Tubal,5,undirected
Jessica,Launcelot,7,undirected
Jessica,Salerio,1,undirected
Jessica,Tubal,2,undirected
Jessica,Nerissa,2,undirected
Jessica,Portia_mv,5,undirected
Jessica,Lorenzo,22,undirected
Jessica,Salarino,1,undirected
Jessica,Stephano,1,undirected
Jessica,Shylock,10,undirected
Jessica,jessica_mother,1,undirected
Clerk,Portia_mv,1,undirected
Margery,OldGobbo,1,undirected
